id,company_name,ticker,sector_group,industry_group,rating_seed,rating_source,index_memberships
207,GoDaddy,GDDY,Technology,Internet Services & Infrastructure,NR (to derive from financials),default - no public rating available; derive from leverage/margin post-SEC pull,S&P 500
208,GE Aerospace,GE,Aerospace & Defense,Aerospace & Defense,A / BBB bucket,demo_bucket_to_refresh,S&P 500
209,GE HealthCare,GEHC,Industrials,,NR (to derive from financials),default - no public rating available; derive from leverage/margin post-SEC pull,Nasdaq 100; S&P 500
210,Gen Digital,GEN,Technology,Systems Software,NR (to derive from financials),default - no public rating available; derive from leverage/margin post-SEC pull,S&P 500
211,GE Vernova,GEV,Industrials,Heavy Electrical Equipment,NR (to derive from financials),default - no public rating available; derive from leverage/margin post-SEC pull,S&P 500
212,Gilead Sciences,GILD,Industrials,,NR (to derive from financials),default - no public rating available; derive from leverage/margin post-SEC pull,Nasdaq 100; S&P 500
213,General Mills,GIS,Consumer Staples,Packaged Foods & Meats,NR (to derive from financials),default - no public rating available; derive from leverage/margin post-SEC pull,S&P 500
214,Globe Life,GL,Financials,Life & Health Insurance,NR (to derive from financials),default - no public rating available; derive from leverage/margin post-SEC pull,S&P 500
215,Corning Inc.,GLW,Technology,Electronic Components,NR (to derive from financials),default - no public rating available; derive from leverage/margin post-SEC pull,S&P 500
216,General Motors,GM,Autos,Automobile Manufacturers,BBB / BB bucket,demo_bucket_to_refresh,S&P 500
217,Generac,GNRC,Industrials,Electrical Components & Equipment,NR (to derive from financials),default - no public rating available; derive from leverage/margin post-SEC pull,S&P 500
218,Alphabet Inc. (Class C),GOOG,Industrials,,NR (to derive from financials),default - no public rating available; derive from leverage/margin post-SEC pull,Nasdaq 100; S&P 500
219,Alphabet Inc. (Class A),GOOGL,Industrials,,AA bucket,demo_bucket_to_refresh,Nasdaq 100; S&P 500
220,Genuine Parts Company,GPC,Consumer Discretionary,Distributors,NR (to derive from financials),default - no public rating available; derive from leverage/margin post-SEC pull,S&P 500
221,Global Payments,GPN,Financials,Transaction & Payment Processing Services,NR (to derive from financials),default - no public rating available; derive from leverage/margin post-SEC pull,S&P 500
222,Garmin,GRMN,Consumer Discretionary,Consumer Electronics,NR (to derive from financials),default - no public rating available; derive from leverage/margin post-SEC pull,S&P 500
223,Goldman Sachs,GS,Financials,,A- shown,screenshot,Dow; S&P 500
224,W. W. Grainger,GWW,Industrials,Industrial Machinery & Supplies & Components,NR (to derive from financials),default - no public rating available; derive from leverage/margin post-SEC pull,S&P 500
225,Halliburton,HAL,Energy,Oil & Gas Equipment & Services,BBB bucket,demo_bucket_to_refresh,S&P 500
226,Hasbro,HAS,Consumer Discretionary,Leisure Products,NR (to derive from financials),default - no public rating available; derive from leverage/margin post-SEC pull,S&P 500
227,Huntington Bancshares,HBAN,Financials,Regional Banks,NR (to derive from financials),default - no public rating available; derive from leverage/margin post-SEC pull,S&P 500
228,HCA Healthcare,HCA,Healthcare,Health Care Facilities,BB / BBB bucket,demo_bucket_to_refresh,S&P 500
229,Home Depot,HD,Consumer Discretionary,,A bucket,demo_bucket_to_refresh,Dow; S&P 500
230,Hartford (The),HIG,Financials,Property & Casualty Insurance,NR (to derive from financials),default - no public rating available; derive from leverage/margin post-SEC pull,S&P 500
231,Huntington Ingalls Industries,HII,Aerospace & Defense,Aerospace & Defense,NR (to derive from financials),default - no public rating available; derive from leverage/margin post-SEC pull,S&P 500
232,Hilton Worldwide,HLT,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",NR (to derive from financials),default - no public rating available; derive from leverage/margin post-SEC pull,S&P 500
233,Honeywell,HON,Industrials,,A bucket,demo_bucket_to_refresh,Dow; Nasdaq 100; S&P 500
234,Robinhood Markets,HOOD,Financials,Investment Banking & Brokerage,NR shown,screenshot,S&P 500
235,Hewlett Packard Enterprise,HPE,Technology,"Technology Hardware, Storage & Peripherals",NR (to derive from financials),default - no public rating available; derive from leverage/margin post-SEC pull,S&P 500
236,HP Inc.,HPQ,Technology,"Technology Hardware, Storage & Peripherals",BBB bucket,demo_bucket_to_refresh,S&P 500
237,Hormel Foods,HRL,Consumer Staples,Packaged Foods & Meats,NR (to derive from financials),default - no public rating available; derive from leverage/margin post-SEC pull,S&P 500
238,Henry Schein,HSIC,Healthcare,Health Care Distributors,NR (to derive from financials),default - no public rating available; derive from leverage/margin post-SEC pull,S&P 500
239,Host Hotels & Resorts,HST,Real Estate,Hotel & Resort REITs,NR (to derive from financials),default - no public rating available; derive from leverage/margin post-SEC pull,S&P 500
240,Hershey Company (The),HSY,Consumer Staples,Packaged Foods & Meats,NR (to derive from financials),default - no public rating available; derive from leverage/margin post-SEC pull,S&P 500
241,Hubbell Incorporated,HUBB,Industrials,Industrial Machinery & Supplies & Components,NR (to derive from financials),default - no public rating available; derive from leverage/margin post-SEC pull,S&P 500
242,Humana,HUM,Healthcare,Managed Health Care,NR (to derive from financials),default - no public rating available; derive from leverage/margin post-SEC pull,S&P 500
243,Howmet Aerospace,HWM,Aerospace & Defense,Aerospace & Defense,NR (to derive from financials),default - no public rating available; derive from leverage/margin post-SEC pull,S&P 500
244,Interactive Brokers,IBKR,Financials,Investment Banking & Brokerage,NR (to derive from financials),default - no public rating available; derive from leverage/margin post-SEC pull,S&P 500
245,IBM,IBM,Technology,,NR (to derive from financials),default - no public rating available; derive from leverage/margin post-SEC pull,Dow; S&P 500
246,Intercontinental Exchange,ICE,Financials,Financial Exchanges & Data,NR (to derive from financials),default - no public rating available; derive from leverage/margin post-SEC pull,S&P 500
247,Idexx Laboratories,IDXX,Industrials,,NR (to derive from financials),default - no public rating available; derive from leverage/margin post-SEC pull,Nasdaq 100; S&P 500
248,IDEX Corporation,IEX,Industrials,Industrial Machinery & Supplies & Components,NR (to derive from financials),default - no public rating available; derive from leverage/margin post-SEC pull,S&P 500
249,International Flavors & Fragrances,IFF,Materials,Specialty Chemicals,NR (to derive from financials),default - no public rating available; derive from leverage/margin post-SEC pull,S&P 500
250,Incyte,INCY,Healthcare,Biotechnology,NR (to derive from financials),default - no public rating available; derive from leverage/margin post-SEC pull,S&P 500
251,Insmed Incorporated,INSM,Industrials,,NR (to derive from financials),default - no public rating available; derive from leverage/margin post-SEC pull,Nasdaq 100
252,Intel,INTC,Industrials,,A- shown,screenshot,Nasdaq 100; S&P 500
253,Intuit,INTU,Industrials,,NR (to derive from financials),default - no public rating available; derive from leverage/margin post-SEC pull,Nasdaq 100; S&P 500
254,Invitation Homes,INVH,Real Estate,Single-Family Residential REITs,NR (to derive from financials),default - no public rating available; derive from leverage/margin post-SEC pull,S&P 500
255,International Paper,IP,Materials,Paper & Plastic Packaging Products & Materials,NR (to derive from financials),default - no public rating available; derive from leverage/margin post-SEC pull,S&P 500
256,IQVIA,IQV,Healthcare,Life Sciences Tools & Services,NR (to derive from financials),default - no public rating available; derive from leverage/margin post-SEC pull,S&P 500
257,Ingersoll Rand,IR,Industrials,Industrial Machinery & Supplies & Components,NR (to derive from financials),default - no public rating available; derive from leverage/margin post-SEC pull,S&P 500
258,Iron Mountain,IRM,Real Estate,Other Specialized REITs,NR (to derive from financials),default - no public rating available; derive from leverage/margin post-SEC pull,S&P 500
259,Intuitive Surgical,ISRG,Industrials,,NR (to derive from financials),default - no public rating available; derive from leverage/margin post-SEC pull,Nasdaq 100; S&P 500
260,Gartner,IT,Technology,IT Consulting & Other Services,NR (to derive from financials),default - no public rating available; derive from leverage/margin post-SEC pull,S&P 500
261,Illinois Tool Works,ITW,Industrials,Industrial Machinery & Supplies & Components,NR (to derive from financials),default - no public rating available; derive from leverage/margin post-SEC pull,S&P 500
262,Invesco,IVZ,Financials,Asset Management & Custody Banks,NR (to derive from financials),default - no public rating available; derive from leverage/margin post-SEC pull,S&P 500
263,Jacobs Solutions,J,Industrials,Construction & Engineering,NR (to derive from financials),default - no public rating available; derive from leverage/margin post-SEC pull,S&P 500
264,J.B. Hunt,JBHT,Transportation,Cargo Ground Transportation,NR (to derive from financials),default - no public rating available; derive from leverage/margin post-SEC pull,S&P 500
265,Jabil,JBL,Technology,Electronic Manufacturing Services,NR (to derive from financials),default - no public rating available; derive from leverage/margin post-SEC pull,S&P 500
266,Johnson Controls,JCI,Industrials,Building Products,NR (to derive from financials),default - no public rating available; derive from leverage/margin post-SEC pull,S&P 500
267,Jack Henry & Associates,JKHY,Financials,Transaction & Payment Processing Services,NR (to derive from financials),default - no public rating available; derive from leverage/margin post-SEC pull,S&P 500
268,Johnson & Johnson,JNJ,Healthcare,,AAA / AA bucket,demo_bucket_to_refresh,Dow; S&P 500
269,JPMorgan Chase,JPM,Financials,,A+ shown,screenshot,Dow; S&P 500
270,Keurig Dr Pepper,KDP,Industrials,,NR (to derive from financials),default - no public rating available; derive from leverage/margin post-SEC pull,Nasdaq 100; S&P 500
271,KeyCorp,KEY,Financials,Regional Banks,NR (to derive from financials),default - no public rating available; derive from leverage/margin post-SEC pull,S&P 500
272,Keysight Technologies,KEYS,Technology,Electronic Equipment & Instruments,NR (to derive from financials),default - no public rating available; derive from leverage/margin post-SEC pull,S&P 500
273,Kraft Heinz,KHC,Industrials,,BBB / BB bucket,demo_bucket_to_refresh,Nasdaq 100; S&P 500
274,Kimco Realty,KIM,Real Estate,Retail REITs,NR (to derive from financials),default - no public rating available; derive from leverage/margin post-SEC pull,S&P 500
275,KKR & Co.,KKR,Financials,Asset Management & Custody Banks,NR (to derive from financials),default - no public rating available; derive from leverage/margin post-SEC pull,S&P 500
276,KLA Corporation,KLAC,Industrials,,NR (to derive from financials),default - no public rating available; derive from leverage/margin post-SEC pull,Nasdaq 100; S&P 500
277,Kimberly-Clark,KMB,Consumer Staples,Household Products,NR (to derive from financials),default - no public rating available; derive from leverage/margin post-SEC pull,S&P 500
278,Kinder Morgan,KMI,Energy,Oil & Gas Storage & Transportation,NR (to derive from financials),default - no public rating available; derive from leverage/margin post-SEC pull,S&P 500
279,Coca-Cola,KO,Consumer Staples,,A+ / AA bucket,demo_bucket_to_refresh,Dow; S&P 500
280,Kroger,KR,Consumer Staples,Food Retail,NR (to derive from financials),default - no public rating available; derive from leverage/margin post-SEC pull,S&P 500
281,Kenvue,KVUE,Consumer Staples,Personal Care Products,NR (to derive from financials),default - no public rating available; derive from leverage/margin post-SEC pull,S&P 500
282,Loews Corporation,L,Financials,Multi-line Insurance,NR (to derive from financials),default - no public rating available; derive from leverage/margin post-SEC pull,S&P 500
283,Leidos,LDOS,Industrials,Diversified Support Services,NR (to derive from financials),default - no public rating available; derive from leverage/margin post-SEC pull,S&P 500
284,Lennar,LEN,Consumer Discretionary,Homebuilding,NR (to derive from financials),default - no public rating available; derive from leverage/margin post-SEC pull,S&P 500
285,Labcorp,LH,Healthcare,Health Care Services,NR (to derive from financials),default - no public rating available; derive from leverage/margin post-SEC pull,S&P 500
286,L3Harris,LHX,Aerospace & Defense,Aerospace & Defense,NR (to derive from financials),default - no public rating available; derive from leverage/margin post-SEC pull,S&P 500
287,Lennox International,LII,Industrials,Building Products,NR (to derive from financials),default - no public rating available; derive from leverage/margin post-SEC pull,S&P 500
288,Linde plc,LIN,Industrials,,NR (to derive from financials),default - no public rating available; derive from leverage/margin post-SEC pull,Nasdaq 100; S&P 500
289,Lumentum,LITE,Technology,Communications Equipment,NR (to derive from financials),default - no public rating available; derive from leverage/margin post-SEC pull,S&P 500
290,Lilly (Eli),LLY,Healthcare,Pharmaceuticals,NR (to derive from financials),default - no public rating available; derive from leverage/margin post-SEC pull,S&P 500
291,Lockheed Martin,LMT,Aerospace & Defense,Aerospace & Defense,A bucket,demo_bucket_to_refresh,S&P 500
292,Alliant Energy,LNT,Utilities,Electric Utilities,NR (to derive from financials),default - no public rating available; derive from leverage/margin post-SEC pull,S&P 500
293,Lowe's,LOW,Consumer Discretionary,Home Improvement Retail,A bucket,demo_bucket_to_refresh,S&P 500
294,Lam Research,LRCX,Industrials,,NR (to derive from financials),default - no public rating available; derive from leverage/margin post-SEC pull,Nasdaq 100; S&P 500
295,Lululemon Athletica,LULU,Consumer Discretionary,"Apparel, Accessories & Luxury Goods",NR (to derive from financials),default - no public rating available; derive from leverage/margin post-SEC pull,S&P 500
296,Southwest Airlines,LUV,Transportation,Passenger Airlines,BBB bucket,demo_bucket_to_refresh,S&P 500
297,Las Vegas Sands,LVS,Consumer Discretionary,Casinos & Gaming,NR (to derive from financials),default - no public rating available; derive from leverage/margin post-SEC pull,S&P 500
298,LyondellBasell,LYB,Materials,Specialty Chemicals,NR (to derive from financials),default - no public rating available; derive from leverage/margin post-SEC pull,S&P 500
299,Live Nation Entertainment,LYV,Communication Services,Movies & Entertainment,NR (to derive from financials),default - no public rating available; derive from leverage/margin post-SEC pull,S&P 500
300,Mastercard,MA,Financials,Transaction & Payment Processing Services,AA- shown,screenshot,S&P 500
301,Mid-America Apartment Communities,MAA,Real Estate,Multi-Family Residential REITs,NR (to derive from financials),default - no public rating available; derive from leverage/margin post-SEC pull,S&P 500
302,Marriott International,MAR,Industrials,,NR (to derive from financials),default - no public rating available; derive from leverage/margin post-SEC pull,Nasdaq 100; S&P 500
303,Masco,MAS,Industrials,Building Products,NR (to derive from financials),default - no public rating available; derive from leverage/margin post-SEC pull,S&P 500
304,McDonald's,MCD,Consumer Discretionary,,BBB+ / A bucket,demo_bucket_to_refresh,Dow; S&P 500
305,Microchip Technology,MCHP,Industrials,,NR (to derive from financials),default - no public rating available; derive from leverage/margin post-SEC pull,Nasdaq 100; S&P 500
306,McKesson Corporation,MCK,Healthcare,Health Care Distributors,NR (to derive from financials),default - no public rating available; derive from leverage/margin post-SEC pull,S&P 500
307,Moody's Corporation,MCO,Financials,Financial Exchanges & Data,NR (to derive from financials),default - no public rating available; derive from leverage/margin post-SEC pull,S&P 500
308,Mondelez International,MDLZ,Industrials,,NR (to derive from financials),default - no public rating available; derive from leverage/margin post-SEC pull,Nasdaq 100; S&P 500
309,Medtronic,MDT,Healthcare,Health Care Equipment,NR (to derive from financials),default - no public rating available; derive from leverage/margin post-SEC pull,S&P 500
310,Mercado Libre,MELI,Industrials,,NR (to derive from financials),default - no public rating available; derive from leverage/margin post-SEC pull,Nasdaq 100
311,MetLife,MET,Financials,Life & Health Insurance,NR (to derive from financials),default - no public rating available; derive from leverage/margin post-SEC pull,S&P 500
312,Meta Platforms,META,Industrials,,A bucket,demo_bucket_to_refresh,Nasdaq 100; S&P 500
313,MGM Resorts,MGM,Consumer Discretionary,Casinos & Gaming,NR (to derive from financials),default - no public rating available; derive from leverage/margin post-SEC pull,S&P 500
314,McCormick & Company,MKC,Consumer Staples,Packaged Foods & Meats,NR (to derive from financials),default - no public rating available; derive from leverage/margin post-SEC pull,S&P 500
315,Martin Marietta Materials,MLM,Materials,Construction Materials,NR (to derive from financials),default - no public rating available; derive from leverage/margin post-SEC pull,S&P 500
316,3M,MMM,Industrials,,BBB / A bucket,demo_bucket_to_refresh,Dow; S&P 500
317,Monster Beverage,MNST,Industrials,,NR (to derive from financials),default - no public rating available; derive from leverage/margin post-SEC pull,Nasdaq 100; S&P 500
318,Altria,MO,Consumer Staples,Tobacco,NR (to derive from financials),default - no public rating available; derive from leverage/margin post-SEC pull,S&P 500
319,Mosaic Company (The),MOS,Materials,Fertilizers & Agricultural Chemicals,NR (to derive from financials),default - no public rating available; derive from leverage/margin post-SEC pull,S&P 500
320,Marathon Petroleum,MPC,Energy,Oil & Gas Refining & Marketing,NR (to derive from financials),default - no public rating available; derive from leverage/margin post-SEC pull,S&P 500
321,Monolithic Power Systems,MPWR,Industrials,,NR (to derive from financials),default - no public rating available; derive from leverage/margin post-SEC pull,Nasdaq 100; S&P 500
322,Merck,MRK,Healthcare,,A / AA bucket,demo_bucket_to_refresh,Dow; S&P 500
323,Moderna,MRNA,Healthcare,Biotechnology,NR (to derive from financials),default - no public rating available; derive from leverage/margin post-SEC pull,S&P 500
324,Marsh McLennan,MRSH,Financials,Insurance Brokers,NR (to derive from financials),default - no public rating available; derive from leverage/margin post-SEC pull,S&P 500
325,Marvell Technology,MRVL,Industrials,,NR (to derive from financials),default - no public rating available; derive from leverage/margin post-SEC pull,Nasdaq 100
326,Morgan Stanley,MS,Financials,Investment Banking & Brokerage,A- bucket,demo_bucket_to_refresh,S&P 500
327,MSCI Inc.,MSCI,Financials,Financial Exchanges & Data,NR (to derive from financials),default - no public rating available; derive from leverage/margin post-SEC pull,S&P 500
328,Microsoft,MSFT,Technology,,AAA / AA bucket,demo_bucket_to_refresh,Dow; Nasdaq 100; S&P 500
329,Motorola Solutions,MSI,Technology,Communications Equipment,NR (to derive from financials),default - no public rating available; derive from leverage/margin post-SEC pull,S&P 500
330,MicroStrategy,MSTR,Industrials,,NR (to derive from financials),default - no public rating available; derive from leverage/margin post-SEC pull,Nasdaq 100
331,M&T Bank,MTB,Financials,Regional Banks,NR (to derive from financials),default - no public rating available; derive from leverage/margin post-SEC pull,S&P 500
332,Mettler Toledo,MTD,Healthcare,Life Sciences Tools & Services,NR (to derive from financials),default - no public rating available; derive from leverage/margin post-SEC pull,S&P 500
333,Micron Technology,MU,Industrials,,BBB bucket,demo_bucket_to_refresh,Nasdaq 100; S&P 500
334,Norwegian Cruise Line Holdings,NCLH,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",NR (to derive from financials),default - no public rating available; derive from leverage/margin post-SEC pull,S&P 500
335,"Nasdaq, Inc.",NDAQ,Financials,Financial Exchanges & Data,NR (to derive from financials),default - no public rating available; derive from leverage/margin post-SEC pull,S&P 500
336,Nordson Corporation,NDSN,Industrials,Industrial Machinery & Supplies & Components,NR (to derive from financials),default - no public rating available; derive from leverage/margin post-SEC pull,S&P 500
337,NextEra Energy,NEE,Utilities,Multi-Utilities,A / BBB+ bucket,demo_bucket_to_refresh,S&P 500
338,Newmont,NEM,Materials,Gold,NR (to derive from financials),default - no public rating available; derive from leverage/margin post-SEC pull,S&P 500
339,"Netflix, Inc.",NFLX,Industrials,,BBB / BB bucket,demo_bucket_to_refresh,Nasdaq 100; S&P 500
340,NiSource,NI,Utilities,Multi-Utilities,NR (to derive from financials),default - no public rating available; derive from leverage/margin post-SEC pull,S&P 500
341,Nike,NKE,Consumer Discretionary,,A bucket,demo_bucket_to_refresh,Dow; S&P 500
342,Northrop Grumman,NOC,Aerospace & Defense,Aerospace & Defense,BBB+ / A- bucket,demo_bucket_to_refresh,S&P 500
343,ServiceNow,NOW,Technology,Systems Software,A- shown,screenshot,S&P 500
344,NRG Energy,NRG,Utilities,Independent Power Producers & Energy Traders,NR (to derive from financials),default - no public rating available; derive from leverage/margin post-SEC pull,S&P 500
345,Norfolk Southern,NSC,Transportation,Rail Transportation,NR (to derive from financials),default - no public rating available; derive from leverage/margin post-SEC pull,S&P 500
346,NetApp,NTAP,Technology,"Technology Hardware, Storage & Peripherals",NR (to derive from financials),default - no public rating available; derive from leverage/margin post-SEC pull,S&P 500
347,Northern Trust,NTRS,Financials,Asset Management & Custody Banks,NR (to derive from financials),default - no public rating available; derive from leverage/margin post-SEC pull,S&P 500
348,Nucor,NUE,Materials,Steel,NR (to derive from financials),default - no public rating available; derive from leverage/margin post-SEC pull,S&P 500
349,Nvidia,NVDA,Technology,,A / AA bucket,demo_bucket_to_refresh,Dow; Nasdaq 100; S&P 500
350,"NVR, Inc.",NVR,Consumer Discretionary,Homebuilding,NR (to derive from financials),default - no public rating available; derive from leverage/margin post-SEC pull,S&P 500
351,News Corp (Class B),NWS,Communication Services,Publishing,NR (to derive from financials),default - no public rating available; derive from leverage/margin post-SEC pull,S&P 500
352,News Corp (Class A),NWSA,Communication Services,Publishing,NR (to derive from financials),default - no public rating available; derive from leverage/margin post-SEC pull,S&P 500
353,NXP Semiconductors,NXPI,Industrials,,NR (to derive from financials),default - no public rating available; derive from leverage/margin post-SEC pull,Nasdaq 100; S&P 500
354,Realty Income,O,Real Estate,Retail REITs,NR (to derive from financials),default - no public rating available; derive from leverage/margin post-SEC pull,S&P 500
355,Old Dominion Freight Line,ODFL,Industrials,,NR (to derive from financials),default - no public rating available; derive from leverage/margin post-SEC pull,Nasdaq 100; S&P 500
356,Oneok,OKE,Energy,Oil & Gas Storage & Transportation,NR (to derive from financials),default - no public rating available; derive from leverage/margin post-SEC pull,S&P 500
357,Omnicom Group,OMC,Communication Services,Advertising,NR (to derive from financials),default - no public rating available; derive from leverage/margin post-SEC pull,S&P 500
358,ON Semiconductor,ON,Technology,Semiconductors,NR (to derive from financials),default - no public rating available; derive from leverage/margin post-SEC pull,S&P 500
359,Oracle Corporation,ORCL,Technology,Application Software,A shown,screenshot,S&P 500
360,O'Reilly Automotive,ORLY,Industrials,,NR (to derive from financials),default - no public rating available; derive from leverage/margin post-SEC pull,Nasdaq 100; S&P 500
361,Otis Worldwide,OTIS,Industrials,Industrial Machinery & Supplies & Components,NR (to derive from financials),default - no public rating available; derive from leverage/margin post-SEC pull,S&P 500
362,Occidental Petroleum,OXY,Energy,Oil & Gas Exploration & Production,BBB / BB bucket,demo_bucket_to_refresh,S&P 500
363,Palo Alto Networks,PANW,Industrials,,NR (to derive from financials),default - no public rating available; derive from leverage/margin post-SEC pull,Nasdaq 100; S&P 500
364,Paychex,PAYX,Industrials,,NR (to derive from financials),default - no public rating available; derive from leverage/margin post-SEC pull,Nasdaq 100; S&P 500
365,Paccar,PCAR,Industrials,,NR (to derive from financials),default - no public rating available; derive from leverage/margin post-SEC pull,Nasdaq 100; S&P 500
366,PG&E Corporation,PCG,Utilities,Multi-Utilities,BB / B bucket,demo_bucket_to_refresh,S&P 500
367,PDD Holdings,PDD,Industrials,,NR (to derive from financials),default - no public rating available; derive from leverage/margin post-SEC pull,Nasdaq 100
368,Public Service Enterprise Group,PEG,Utilities,Electric Utilities,NR (to derive from financials),default - no public rating available; derive from leverage/margin post-SEC pull,S&P 500
369,PepsiCo,PEP,Industrials,,A+ / AA bucket,demo_bucket_to_refresh,Nasdaq 100; S&P 500
370,Pfizer,PFE,Healthcare,Pharmaceuticals,A bucket,demo_bucket_to_refresh,S&P 500
371,Principal Financial Group,PFG,Financials,Life & Health Insurance,NR (to derive from financials),default - no public rating available; derive from leverage/margin post-SEC pull,S&P 500
372,Procter & Gamble,PG,Consumer Staples,,AA / A bucket,demo_bucket_to_refresh,Dow; S&P 500
373,Progressive Corporation,PGR,Financials,Property & Casualty Insurance,NR (to derive from financials),default - no public rating available; derive from leverage/margin post-SEC pull,S&P 500
374,Parker Hannifin,PH,Industrials,Industrial Machinery & Supplies & Components,NR (to derive from financials),default - no public rating available; derive from leverage/margin post-SEC pull,S&P 500
375,PulteGroup,PHM,Consumer Discretionary,Homebuilding,NR (to derive from financials),default - no public rating available; derive from leverage/margin post-SEC pull,S&P 500
376,Packaging Corporation of America,PKG,Materials,Paper & Plastic Packaging Products & Materials,NR (to derive from financials),default - no public rating available; derive from leverage/margin post-SEC pull,S&P 500
377,Prologis,PLD,Real Estate,Industrial REITs,NR (to derive from financials),default - no public rating available; derive from leverage/margin post-SEC pull,S&P 500
378,Palantir Technologies,PLTR,Industrials,,NR (to derive from financials),default - no public rating available; derive from leverage/margin post-SEC pull,Nasdaq 100; S&P 500
379,Philip Morris International,PM,Consumer Staples,Tobacco,NR (to derive from financials),default - no public rating available; derive from leverage/margin post-SEC pull,S&P 500
380,PNC Financial Services,PNC,Financials,Diversified Banks,NR (to derive from financials),default - no public rating available; derive from leverage/margin post-SEC pull,S&P 500
381,Pentair,PNR,Industrials,Industrial Machinery & Supplies & Components,NR (to derive from financials),default - no public rating available; derive from leverage/margin post-SEC pull,S&P 500
382,Pinnacle West Capital,PNW,Utilities,Multi-Utilities,NR (to derive from financials),default - no public rating available; derive from leverage/margin post-SEC pull,S&P 500
383,Insulet Corporation,PODD,Healthcare,Health Care Equipment,NR (to derive from financials),default - no public rating available; derive from leverage/margin post-SEC pull,S&P 500
384,Pool Corporation,POOL,Consumer Discretionary,Distributors,NR (to derive from financials),default - no public rating available; derive from leverage/margin post-SEC pull,S&P 500
385,PPG Industries,PPG,Materials,Specialty Chemicals,NR (to derive from financials),default - no public rating available; derive from leverage/margin post-SEC pull,S&P 500
386,PPL Corporation,PPL,Utilities,Electric Utilities,NR (to derive from financials),default - no public rating available; derive from leverage/margin post-SEC pull,S&P 500
387,Prudential Financial,PRU,Financials,Life & Health Insurance,NR (to derive from financials),default - no public rating available; derive from leverage/margin post-SEC pull,S&P 500
388,Public Storage,PSA,Real Estate,Self-Storage REITs,NR (to derive from financials),default - no public rating available; derive from leverage/margin post-SEC pull,S&P 500
389,Paramount Skydance Corporation,PSKY,Communication Services,Movies & Entertainment,NR (to derive from financials),default - no public rating available; derive from leverage/margin post-SEC pull,S&P 500
390,Phillips 66,PSX,Energy,Oil & Gas Refining & Marketing,NR (to derive from financials),default - no public rating available; derive from leverage/margin post-SEC pull,S&P 500
391,PTC Inc.,PTC,Technology,Application Software,NR (to derive from financials),default - no public rating available; derive from leverage/margin post-SEC pull,S&P 500
392,Quanta Services,PWR,Industrials,Construction & Engineering,NR (to derive from financials),default - no public rating available; derive from leverage/margin post-SEC pull,S&P 500
393,PayPal,PYPL,Industrials,,A shown,screenshot,Nasdaq 100; S&P 500
394,Qnity Electronics,Q,Technology,Semiconductor Materials & Equipment,NR (to derive from financials),default - no public rating available; derive from leverage/margin post-SEC pull,S&P 500
395,Qualcomm,QCOM,Industrials,,NR (to derive from financials),default - no public rating available; derive from leverage/margin post-SEC pull,Nasdaq 100; S&P 500
396,Royal Caribbean Group,RCL,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",NR (to derive from financials),default - no public rating available; derive from leverage/margin post-SEC pull,S&P 500
397,Regency Centers,REG,Real Estate,Retail REITs,NR (to derive from financials),default - no public rating available; derive from leverage/margin post-SEC pull,S&P 500
398,Regeneron Pharmaceuticals,REGN,Industrials,,NR (to derive from financials),default - no public rating available; derive from leverage/margin post-SEC pull,Nasdaq 100; S&P 500
399,Regions Financial Corporation,RF,Financials,Regional Banks,NR (to derive from financials),default - no public rating available; derive from leverage/margin post-SEC pull,S&P 500
400,Raymond James Financial,RJF,Financials,Investment Banking & Brokerage,A- shown,screenshot,S&P 500
401,Ralph Lauren Corporation,RL,Consumer Discretionary,"Apparel, Accessories & Luxury Goods",NR (to derive from financials),default - no public rating available; derive from leverage/margin post-SEC pull,S&P 500
402,ResMed,RMD,Healthcare,Health Care Equipment,NR (to derive from financials),default - no public rating available; derive from leverage/margin post-SEC pull,S&P 500
403,Rockwell Automation,ROK,Industrials,Electrical Components & Equipment,NR (to derive from financials),default - no public rating available; derive from leverage/margin post-SEC pull,S&P 500
404,"Rollins, Inc.",ROL,Industrials,Environmental & Facilities Services,NR (to derive from financials),default - no public rating available; derive from leverage/margin post-SEC pull,S&P 500
405,Roper Technologies,ROP,Industrials,,NR (to derive from financials),default - no public rating available; derive from leverage/margin post-SEC pull,Nasdaq 100; S&P 500
406,Ross Stores,ROST,Industrials,,NR (to derive from financials),default - no public rating available; derive from leverage/margin post-SEC pull,Nasdaq 100; S&P 500
407,Republic Services,RSG,Industrials,Environmental & Facilities Services,NR (to derive from financials),default - no public rating available; derive from leverage/margin post-SEC pull,S&P 500
408,RTX Corporation,RTX,Aerospace & Defense,Aerospace & Defense,A / BBB+ bucket,demo_bucket_to_refresh,S&P 500
409,Revvity,RVTY,Healthcare,Health Care Equipment,NR (to derive from financials),default - no public rating available; derive from leverage/margin post-SEC pull,S&P 500
410,EchoStar,SATS,Technology & Communications,Wireless Telecommunication Services,NR (to derive from financials),default - no public rating available; derive from leverage/margin post-SEC pull,S&P 500
411,SBA Communications,SBAC,Real Estate,Telecom Tower REITs,NR (to derive from financials),default - no public rating available; derive from leverage/margin post-SEC pull,S&P 500
412,Starbucks,SBUX,Industrials,,BBB / A bucket,demo_bucket_to_refresh,Nasdaq 100; S&P 500
